
time 00h 00m 10s, episodes 1, frames 0.004M, mean epr 63.000
time 00h 00m 20s, episodes 9, frames 0.009M, mean epr 76.620
time 00h 00m 30s, episodes 12, frames 0.013M, mean epr 84.725
time 00h 00m 40s, episodes 21, frames 0.018M, mean epr 108.499
time 00h 00m 50s, episodes 24, frames 0.023M, mean epr 117.746
time 00h 01m 00s, episodes 31, frames 0.027M, mean epr 143.014
time 00h 01m 10s, episodes 36, frames 0.032M, mean epr 154.727
time 00h 01m 20s, episodes 43, frames 0.036M, mean epr 169.408
time 00h 01m 31s, episodes 47, frames 0.041M, mean epr 175.134
time 00h 01m 41s, episodes 54, frames 0.045M, mean epr 187.145
time 00h 01m 51s, episodes 60, frames 0.050M, mean epr 192.311
time 00h 02m 01s, episodes 66, frames 0.055M, mean epr 201.801
time 00h 02m 11s, episodes 71, frames 0.059M, mean epr 208.145
time 00h 02m 22s, episodes 76, frames 0.064M, mean epr 214.029
time 00h 02m 32s, episodes 84, frames 0.068M, mean epr 229.244
time 00h 02m 42s, episodes 88, frames 0.073M, mean epr 233.864
time 00h 02m 52s, episodes 96, frames 0.078M, mean epr 243.940
time 00h 03m 02s, episodes 101, frames 0.082M, mean epr 246.822
time 00h 03m 12s, episodes 106, frames 0.087M, mean epr 253.697
time 00h 03m 22s, episodes 115, frames 0.091M, mean epr 261.965
time 00h 03m 33s, episodes 117, frames 0.096M, mean epr 264.060
time 00h 03m 43s, episodes 125, frames 0.100M, mean epr 267.775
time 00h 03m 53s, episodes 131, frames 0.105M, mean epr 271.173
time 00h 04m 03s, episodes 136, frames 0.109M, mean epr 276.606
time 00h 04m 13s, episodes 143, frames 0.114M, mean epr 280.487
time 00h 04m 23s, episodes 149, frames 0.119M, mean epr 284.791
time 00h 04m 33s, episodes 155, frames 0.123M, mean epr 285.748
time 00h 04m 44s, episodes 163, frames 0.128M, mean epr 288.614
time 00h 04m 54s, episodes 168, frames 0.132M, mean epr 291.152
time 00h 05m 04s, episodes 175, frames 0.137M, mean epr 297.038
time 00h 05m 14s, episodes 182, frames 0.141M, mean epr 298.274
time 00h 05m 24s, episodes 187, frames 0.146M, mean epr 300.146
time 00h 05m 34s, episodes 193, frames 0.150M, mean epr 302.691
time 00h 05m 44s, episodes 199, frames 0.155M, mean epr 307.777
time 00h 05m 55s, episodes 206, frames 0.159M, mean epr 313.892
time 00h 06m 05s, episodes 209, frames 0.164M, mean epr 315.578
time 00h 06m 15s, episodes 218, frames 0.169M, mean epr 321.268
time 00h 06m 25s, episodes 222, frames 0.173M, mean epr 323.505
time 00h 06m 35s, episodes 228, frames 0.178M, mean epr 331.173
time 00h 06m 45s, episodes 233, frames 0.182M, mean epr 332.225
time 00h 06m 56s, episodes 240, frames 0.187M, mean epr 335.317
time 00h 07m 06s, episodes 244, frames 0.192M, mean epr 339.265
time 00h 07m 16s, episodes 250, frames 0.196M, mean epr 344.008
time 00h 07m 26s, episodes 259, frames 0.201M, mean epr 345.146
time 00h 07m 36s, episodes 263, frames 0.205M, mean epr 345.187
time 00h 07m 46s, episodes 269, frames 0.210M, mean epr 348.750
time 00h 07m 56s, episodes 277, frames 0.214M, mean epr 343.883
time 00h 08m 06s, episodes 280, frames 0.219M, mean epr 343.011
time 00h 08m 16s, episodes 287, frames 0.224M, mean epr 343.885
time 00h 08m 26s, episodes 292, frames 0.228M, mean epr 349.243
time 00h 08m 36s, episodes 297, frames 0.233M, mean epr 351.081
time 00h 08m 47s, episodes 302, frames 0.237M, mean epr 355.929
time 00h 08m 57s, episodes 308, frames 0.242M, mean epr 359.855
time 00h 09m 07s, episodes 316, frames 0.246M, mean epr 365.210
