
time 00h 00m 10s, episodes 0, frames 0.001M, mean epr 0.000
time 00h 00m 20s, episodes 7, frames 0.003M, mean epr 0.040
time 00h 00m 30s, episodes 12, frames 0.004M, mean epr 0.126
time 00h 00m 40s, episodes 19, frames 0.006M, mean epr 0.195
time 00h 00m 50s, episodes 25, frames 0.007M, mean epr 0.213
time 00h 01m 00s, episodes 29, frames 0.008M, mean epr 0.264
time 00h 01m 10s, episodes 34, frames 0.010M, mean epr 0.339
time 00h 01m 20s, episodes 37, frames 0.011M, mean epr 0.408
time 00h 01m 30s, episodes 45, frames 0.012M, mean epr 0.512
time 00h 01m 40s, episodes 49, frames 0.014M, mean epr 0.551
time 00h 01m 50s, episodes 53, frames 0.015M, mean epr 0.569
time 00h 02m 00s, episodes 58, frames 0.017M, mean epr 0.649
time 00h 02m 10s, episodes 63, frames 0.018M, mean epr 0.724
time 00h 02m 21s, episodes 67, frames 0.019M, mean epr 0.725
time 00h 02m 31s, episodes 74, frames 0.021M, mean epr 0.792
time 00h 02m 41s, episodes 78, frames 0.022M, mean epr 0.820
time 00h 02m 51s, episodes 83, frames 0.024M, mean epr 0.830
time 00h 03m 01s, episodes 90, frames 0.025M, mean epr 0.919
time 00h 03m 11s, episodes 96, frames 0.026M, mean epr 0.942
time 00h 03m 21s, episodes 100, frames 0.028M, mean epr 0.955
time 00h 03m 31s, episodes 107, frames 0.029M, mean epr 0.978
time 00h 03m 41s, episodes 111, frames 0.031M, mean epr 0.978
time 00h 03m 51s, episodes 118, frames 0.032M, mean epr 1.047
time 00h 04m 01s, episodes 123, frames 0.033M, mean epr 1.035
time 00h 04m 11s, episodes 128, frames 0.035M, mean epr 1.043
time 00h 04m 21s, episodes 133, frames 0.036M, mean epr 1.051
time 00h 04m 31s, episodes 138, frames 0.037M, mean epr 1.126
time 00h 04m 41s, episodes 146, frames 0.039M, mean epr 1.126
time 00h 04m 51s, episodes 153, frames 0.040M, mean epr 1.078
time 00h 05m 03s, episodes 158, frames 0.042M, mean epr 1.084
time 00h 05m 13s, episodes 160, frames 0.043M, mean epr 1.073
time 00h 05m 23s, episodes 169, frames 0.044M, mean epr 1.152
time 00h 05m 33s, episodes 175, frames 0.046M, mean epr 1.113
time 00h 05m 43s, episodes 182, frames 0.047M, mean epr 1.135
time 00h 05m 53s, episodes 190, frames 0.049M, mean epr 1.057
time 00h 06m 03s, episodes 197, frames 0.050M, mean epr 1.033
time 00h 06m 13s, episodes 202, frames 0.051M, mean epr 1.002
time 00h 06m 23s, episodes 209, frames 0.053M, mean epr 0.974
time 00h 06m 33s, episodes 215, frames 0.054M, mean epr 0.955
time 00h 06m 43s, episodes 221, frames 0.056M, mean epr 0.968
time 00h 06m 53s, episodes 226, frames 0.057M, mean epr 0.940
time 00h 07m 03s, episodes 233, frames 0.058M, mean epr 0.924
time 00h 07m 13s, episodes 239, frames 0.060M, mean epr 0.957
time 00h 07m 23s, episodes 243, frames 0.061M, mean epr 0.939
time 00h 07m 33s, episodes 249, frames 0.063M, mean epr 1.010
time 00h 07m 44s, episodes 254, frames 0.064M, mean epr 1.020
time 00h 07m 54s, episodes 261, frames 0.066M, mean epr 1.057
time 00h 08m 04s, episodes 270, frames 0.067M, mean epr 1.051
time 00h 08m 15s, episodes 273, frames 0.069M, mean epr 1.050
time 00h 08m 25s, episodes 279, frames 0.070M, mean epr 1.047
time 00h 08m 35s, episodes 283, frames 0.071M, mean epr 1.076
time 00h 08m 45s, episodes 288, frames 0.073M, mean epr 1.112
time 00h 08m 55s, episodes 293, frames 0.074M, mean epr 1.165
time 00h 09m 05s, episodes 300, frames 0.076M, mean epr 1.221
time 00h 09m 15s, episodes 303, frames 0.077M, mean epr 1.235
time 00h 09m 25s, episodes 309, frames 0.078M, mean epr 1.250
time 00h 09m 35s, episodes 312, frames 0.080M, mean epr 1.243
time 00h 09m 45s, episodes 319, frames 0.081M, mean epr 1.333
time 00h 09m 55s, episodes 326, frames 0.082M, mean epr 1.292
time 00h 10m 05s, episodes 330, frames 0.084M, mean epr 1.300
time 00h 10m 15s, episodes 336, frames 0.085M, mean epr 1.302
time 00h 10m 25s, episodes 343, frames 0.087M, mean epr 1.282
time 00h 10m 35s, episodes 347, frames 0.088M, mean epr 1.290
time 00h 10m 45s, episodes 353, frames 0.089M, mean epr 1.274
time 00h 10m 55s, episodes 360, frames 0.091M, mean epr 1.284
time 00h 11m 05s, episodes 363, frames 0.092M, mean epr 1.295
time 00h 11m 15s, episodes 371, frames 0.094M, mean epr 1.293
time 00h 11m 26s, episodes 375, frames 0.095M, mean epr 1.321
time 00h 11m 36s, episodes 381, frames 0.096M, mean epr 1.361
time 00h 11m 46s, episodes 386, frames 0.098M, mean epr 1.344
time 00h 11m 56s, episodes 392, frames 0.099M, mean epr 1.314
time 00h 12m 07s, episodes 400, frames 0.101M, mean epr 1.261
time 00h 12m 17s, episodes 407, frames 0.102M, mean epr 1.262
time 00h 12m 27s, episodes 414, frames 0.104M, mean epr 1.244
time 00h 12m 37s, episodes 419, frames 0.105M, mean epr 1.232
time 00h 12m 47s, episodes 424, frames 0.106M, mean epr 1.211
time 00h 12m 57s, episodes 430, frames 0.108M, mean epr 1.219
time 00h 13m 07s, episodes 434, frames 0.109M, mean epr 1.318
time 00h 13m 17s, episodes 438, frames 0.110M, mean epr 1.355
time 00h 13m 27s, episodes 444, frames 0.112M, mean epr 1.373
time 00h 13m 38s, episodes 449, frames 0.113M, mean epr 1.354
time 00h 13m 48s, episodes 458, frames 0.115M, mean epr 1.304
time 00h 13m 58s, episodes 460, frames 0.116M, mean epr 1.297
time 00h 14m 08s, episodes 466, frames 0.117M, mean epr 1.319
time 00h 14m 18s, episodes 471, frames 0.119M, mean epr 1.371
time 00h 14m 28s, episodes 477, frames 0.120M, mean epr 1.389
time 00h 14m 38s, episodes 480, frames 0.122M, mean epr 1.407
time 00h 14m 48s, episodes 485, frames 0.123M, mean epr 1.457
time 00h 14m 58s, episodes 492, frames 0.124M, mean epr 1.503
time 00h 15m 08s, episodes 494, frames 0.126M, mean epr 1.513
time 00h 15m 18s, episodes 501, frames 0.127M, mean epr 1.545
time 00h 15m 29s, episodes 507, frames 0.129M, mean epr 1.542
time 00h 15m 39s, episodes 511, frames 0.130M, mean epr 1.501
time 00h 15m 49s, episodes 516, frames 0.131M, mean epr 1.486
time 00h 15m 59s, episodes 518, frames 0.133M, mean epr 1.487
time 00h 16m 09s, episodes 528, frames 0.134M, mean epr 1.632
time 00h 16m 20s, episodes 530, frames 0.136M, mean epr 1.620
time 00h 16m 30s, episodes 537, frames 0.137M, mean epr 1.608
time 00h 16m 40s, episodes 541, frames 0.138M, mean epr 1.584
time 00h 16m 50s, episodes 547, frames 0.140M, mean epr 1.647
time 00h 17m 00s, episodes 552, frames 0.141M, mean epr 1.635
time 00h 17m 10s, episodes 559, frames 0.143M, mean epr 1.630
time 00h 17m 20s, episodes 563, frames 0.144M, mean epr 1.606
time 00h 17m 30s, episodes 566, frames 0.145M, mean epr 1.627
time 00h 17m 40s, episodes 573, frames 0.147M, mean epr 1.701
time 00h 17m 50s, episodes 578, frames 0.148M, mean epr 1.647
time 00h 18m 00s, episodes 583, frames 0.149M, mean epr 1.654
time 00h 18m 10s, episodes 587, frames 0.151M, mean epr 1.668
