
time 00h 00m 10s, episodes 5, frames 0.002M, mean epr 0.970
time 00h 00m 20s, episodes 15, frames 0.004M, mean epr 0.962
time 00h 00m 31s, episodes 23, frames 0.006M, mean epr 0.947
time 00h 00m 41s, episodes 33, frames 0.009M, mean epr 0.998
time 00h 00m 52s, episodes 44, frames 0.011M, mean epr 1.026
time 00h 01m 02s, episodes 52, frames 0.013M, mean epr 1.015
time 00h 01m 12s, episodes 59, frames 0.016M, mean epr 1.054
time 00h 01m 22s, episodes 68, frames 0.018M, mean epr 1.088
time 00h 01m 33s, episodes 79, frames 0.020M, mean epr 1.147
time 00h 01m 43s, episodes 87, frames 0.023M, mean epr 1.194
time 00h 01m 54s, episodes 93, frames 0.025M, mean epr 1.211
time 00h 02m 04s, episodes 104, frames 0.027M, mean epr 1.254
time 00h 02m 14s, episodes 111, frames 0.029M, mean epr 1.238
time 00h 02m 26s, episodes 121, frames 0.032M, mean epr 1.243
time 00h 02m 36s, episodes 132, frames 0.034M, mean epr 1.219
time 00h 02m 46s, episodes 142, frames 0.036M, mean epr 1.256
time 00h 02m 56s, episodes 149, frames 0.038M, mean epr 1.249
time 00h 03m 07s, episodes 159, frames 0.041M, mean epr 1.271
time 00h 03m 17s, episodes 168, frames 0.043M, mean epr 1.268
time 00h 03m 29s, episodes 178, frames 0.045M, mean epr 1.300
time 00h 03m 39s, episodes 185, frames 0.047M, mean epr 1.289
time 00h 03m 49s, episodes 196, frames 0.049M, mean epr 1.334
time 00h 04m 01s, episodes 206, frames 0.052M, mean epr 1.302
time 00h 04m 12s, episodes 216, frames 0.054M, mean epr 1.303
time 00h 04m 22s, episodes 226, frames 0.056M, mean epr 1.294
time 00h 04m 32s, episodes 237, frames 0.058M, mean epr 1.225
time 00h 04m 43s, episodes 244, frames 0.060M, mean epr 1.250
time 00h 04m 54s, episodes 253, frames 0.062M, mean epr 1.199
time 00h 05m 04s, episodes 264, frames 0.064M, mean epr 1.177
time 00h 05m 15s, episodes 273, frames 0.066M, mean epr 1.191
time 00h 05m 25s, episodes 284, frames 0.068M, mean epr 1.143
time 00h 05m 35s, episodes 290, frames 0.070M, mean epr 1.135
time 00h 05m 46s, episodes 303, frames 0.073M, mean epr 1.125
time 00h 05m 56s, episodes 311, frames 0.075M, mean epr 1.087
time 00h 06m 06s, episodes 319, frames 0.077M, mean epr 1.041
time 00h 06m 17s, episodes 325, frames 0.079M, mean epr 1.097
time 00h 06m 27s, episodes 334, frames 0.080M, mean epr 1.154
time 00h 06m 37s, episodes 341, frames 0.082M, mean epr 1.145
time 00h 06m 48s, episodes 352, frames 0.084M, mean epr 1.148
time 00h 06m 58s, episodes 359, frames 0.086M, mean epr 1.118
time 00h 07m 09s, episodes 368, frames 0.088M, mean epr 1.166
time 00h 07m 19s, episodes 374, frames 0.090M, mean epr 1.195
time 00h 07m 29s, episodes 381, frames 0.092M, mean epr 1.230
time 00h 07m 40s, episodes 390, frames 0.094M, mean epr 1.238
time 00h 07m 50s, episodes 400, frames 0.096M, mean epr 1.224
time 00h 08m 01s, episodes 405, frames 0.098M, mean epr 1.213
time 00h 08m 11s, episodes 414, frames 0.100M, mean epr 1.223
time 00h 08m 22s, episodes 420, frames 0.102M, mean epr 1.200
time 00h 08m 32s, episodes 427, frames 0.104M, mean epr 1.255
time 00h 08m 42s, episodes 435, frames 0.105M, mean epr 1.234
time 00h 08m 52s, episodes 442, frames 0.107M, mean epr 1.199
time 00h 09m 03s, episodes 450, frames 0.109M, mean epr 1.201
time 00h 09m 14s, episodes 459, frames 0.111M, mean epr 1.270
time 00h 09m 25s, episodes 468, frames 0.113M, mean epr 1.219
time 00h 09m 36s, episodes 476, frames 0.115M, mean epr 1.202
time 00h 09m 46s, episodes 483, frames 0.117M, mean epr 1.168
time 00h 09m 56s, episodes 489, frames 0.118M, mean epr 1.158
time 00h 10m 08s, episodes 499, frames 0.120M, mean epr 1.209
time 00h 10m 19s, episodes 505, frames 0.122M, mean epr 1.236
time 00h 10m 29s, episodes 514, frames 0.124M, mean epr 1.244
time 00h 10m 40s, episodes 521, frames 0.126M, mean epr 1.257
time 00h 10m 50s, episodes 528, frames 0.128M, mean epr 1.260
time 00h 11m 00s, episodes 537, frames 0.129M, mean epr 1.228
time 00h 11m 11s, episodes 546, frames 0.131M, mean epr 1.180
