
time 00h 00m 10s, episodes 13, frames 0.004M, mean epr 0.992
time 00h 00m 20s, episodes 26, frames 0.007M, mean epr 1.011
time 00h 00m 30s, episodes 32, frames 0.010M, mean epr 1.108
time 00h 00m 41s, episodes 41, frames 0.012M, mean epr 1.203
time 00h 00m 51s, episodes 52, frames 0.015M, mean epr 1.276
time 00h 01m 01s, episodes 63, frames 0.018M, mean epr 1.293
time 00h 01m 11s, episodes 73, frames 0.020M, mean epr 1.296
time 00h 01m 21s, episodes 82, frames 0.023M, mean epr 1.338
time 00h 01m 32s, episodes 92, frames 0.025M, mean epr 1.334
time 00h 01m 42s, episodes 105, frames 0.028M, mean epr 1.302
time 00h 01m 52s, episodes 114, frames 0.030M, mean epr 1.304
time 00h 02m 02s, episodes 128, frames 0.033M, mean epr 1.276
time 00h 02m 13s, episodes 135, frames 0.035M, mean epr 1.248
time 00h 02m 23s, episodes 145, frames 0.038M, mean epr 1.356
time 00h 02m 33s, episodes 156, frames 0.040M, mean epr 1.318
time 00h 02m 44s, episodes 166, frames 0.043M, mean epr 1.326
time 00h 02m 54s, episodes 174, frames 0.045M, mean epr 1.310
time 00h 03m 04s, episodes 185, frames 0.048M, mean epr 1.344
time 00h 03m 14s, episodes 196, frames 0.050M, mean epr 1.260
time 00h 03m 25s, episodes 205, frames 0.053M, mean epr 1.277
time 00h 03m 35s, episodes 214, frames 0.055M, mean epr 1.350
time 00h 03m 45s, episodes 224, frames 0.058M, mean epr 1.393
time 00h 03m 55s, episodes 235, frames 0.060M, mean epr 1.350
time 00h 04m 06s, episodes 246, frames 0.063M, mean epr 1.343
time 00h 04m 16s, episodes 254, frames 0.065M, mean epr 1.317
time 00h 04m 26s, episodes 264, frames 0.067M, mean epr 1.315
time 00h 04m 37s, episodes 274, frames 0.070M, mean epr 1.313
time 00h 04m 48s, episodes 282, frames 0.072M, mean epr 1.278
time 00h 04m 59s, episodes 292, frames 0.074M, mean epr 1.280
time 00h 05m 09s, episodes 302, frames 0.077M, mean epr 1.252
time 00h 05m 19s, episodes 311, frames 0.079M, mean epr 1.260
time 00h 05m 29s, episodes 317, frames 0.081M, mean epr 1.340
time 00h 05m 39s, episodes 326, frames 0.083M, mean epr 1.358
time 00h 05m 49s, episodes 335, frames 0.086M, mean epr 1.375
time 00h 05m 59s, episodes 346, frames 0.088M, mean epr 1.317
time 00h 06m 10s, episodes 353, frames 0.090M, mean epr 1.296
time 00h 06m 20s, episodes 363, frames 0.092M, mean epr 1.307
time 00h 06m 30s, episodes 372, frames 0.095M, mean epr 1.301
time 00h 06m 41s, episodes 381, frames 0.097M, mean epr 1.312
time 00h 06m 51s, episodes 390, frames 0.099M, mean epr 1.362
time 00h 07m 01s, episodes 400, frames 0.101M, mean epr 1.404
time 00h 07m 11s, episodes 409, frames 0.104M, mean epr 1.397
time 00h 07m 21s, episodes 420, frames 0.106M, mean epr 1.318
time 00h 07m 32s, episodes 429, frames 0.108M, mean epr 1.311
time 00h 07m 42s, episodes 436, frames 0.110M, mean epr 1.309
time 00h 07m 53s, episodes 446, frames 0.113M, mean epr 1.268
time 00h 08m 03s, episodes 456, frames 0.115M, mean epr 1.270
time 00h 08m 13s, episodes 463, frames 0.117M, mean epr 1.299
time 00h 08m 23s, episodes 476, frames 0.120M, mean epr 1.225
time 00h 08m 34s, episodes 484, frames 0.122M, mean epr 1.266
time 00h 08m 44s, episodes 490, frames 0.124M, mean epr 1.300
time 00h 08m 54s, episodes 500, frames 0.126M, mean epr 1.359
time 00h 09m 04s, episodes 508, frames 0.128M, mean epr 1.312
time 00h 09m 15s, episodes 515, frames 0.131M, mean epr 1.311
time 00h 09m 25s, episodes 527, frames 0.133M, mean epr 1.335
time 00h 09m 35s, episodes 537, frames 0.135M, mean epr 1.343
time 00h 09m 46s, episodes 544, frames 0.137M, mean epr 1.329
time 00h 09m 56s, episodes 553, frames 0.140M, mean epr 1.386
time 00h 10m 06s, episodes 561, frames 0.142M, mean epr 1.327
time 00h 10m 16s, episodes 571, frames 0.144M, mean epr 1.341
time 00h 10m 26s, episodes 580, frames 0.146M, mean epr 1.303
time 00h 10m 37s, episodes 591, frames 0.148M, mean epr 1.282
time 00h 10m 47s, episodes 601, frames 0.150M, mean epr 1.244
time 00h 10m 57s, episodes 608, frames 0.153M, mean epr 1.208
time 00h 11m 07s, episodes 617, frames 0.154M, mean epr 1.212
time 00h 11m 17s, episodes 624, frames 0.157M, mean epr 1.236
time 00h 11m 27s, episodes 631, frames 0.159M, mean epr 1.228
time 00h 11m 38s, episodes 643, frames 0.161M, mean epr 1.305
time 00h 11m 48s, episodes 649, frames 0.163M, mean epr 1.248
time 00h 11m 58s, episodes 658, frames 0.165M, mean epr 1.295
time 00h 12m 08s, episodes 666, frames 0.167M, mean epr 1.252
time 00h 12m 19s, episodes 677, frames 0.170M, mean epr 1.338
time 00h 12m 29s, episodes 684, frames 0.172M, mean epr 1.286
time 00h 12m 39s, episodes 696, frames 0.174M, mean epr 1.244
time 00h 12m 49s, episodes 704, frames 0.176M, mean epr 1.225
time 00h 13m 00s, episodes 713, frames 0.178M, mean epr 1.245
time 00h 13m 10s, episodes 724, frames 0.181M, mean epr 1.217
time 00h 13m 20s, episodes 732, frames 0.183M, mean epr 1.237
time 00h 13m 30s, episodes 741, frames 0.185M, mean epr 1.244
time 00h 13m 41s, episodes 750, frames 0.187M, mean epr 1.214
time 00h 13m 51s, episodes 759, frames 0.189M, mean epr 1.196
time 00h 14m 01s, episodes 769, frames 0.192M, mean epr 1.245
time 00h 14m 11s, episodes 775, frames 0.194M, mean epr 1.260
time 00h 14m 21s, episodes 785, frames 0.196M, mean epr 1.292
time 00h 14m 32s, episodes 794, frames 0.198M, mean epr 1.238
time 00h 14m 42s, episodes 802, frames 0.200M, mean epr 1.239
time 00h 14m 52s, episodes 811, frames 0.202M, mean epr 1.228
time 00h 15m 02s, episodes 820, frames 0.204M, mean epr 1.208
time 00h 15m 12s, episodes 829, frames 0.207M, mean epr 1.250
time 00h 15m 22s, episodes 835, frames 0.209M, mean epr 1.284
time 00h 15m 32s, episodes 844, frames 0.211M, mean epr 1.393
time 00h 15m 43s, episodes 853, frames 0.213M, mean epr 1.377
time 00h 15m 53s, episodes 860, frames 0.215M, mean epr 1.410
time 00h 16m 03s, episodes 866, frames 0.217M, mean epr 1.396
time 00h 16m 13s, episodes 875, frames 0.219M, mean epr 1.458
time 00h 16m 24s, episodes 882, frames 0.221M, mean epr 1.457
time 00h 16m 34s, episodes 892, frames 0.224M, mean epr 1.450
time 00h 16m 44s, episodes 900, frames 0.226M, mean epr 1.436
time 00h 16m 54s, episodes 907, frames 0.228M, mean epr 1.387
time 00h 17m 04s, episodes 917, frames 0.230M, mean epr 1.405
time 00h 17m 14s, episodes 927, frames 0.232M, mean epr 1.405
time 00h 17m 24s, episodes 937, frames 0.235M, mean epr 1.336
time 00h 17m 35s, episodes 945, frames 0.237M, mean epr 1.310
time 00h 17m 45s, episodes 954, frames 0.239M, mean epr 1.359
time 00h 17m 55s, episodes 965, frames 0.241M, mean epr 1.293
time 00h 18m 05s, episodes 971, frames 0.243M, mean epr 1.305
time 00h 18m 15s, episodes 982, frames 0.245M, mean epr 1.348
time 00h 18m 25s, episodes 991, frames 0.248M, mean epr 1.327
time 00h 18m 36s, episodes 999, frames 0.250M, mean epr 1.332
time 00h 18m 46s, episodes 1006, frames 0.252M, mean epr 1.387
time 00h 18m 56s, episodes 1015, frames 0.254M, mean epr 1.352
time 00h 19m 06s, episodes 1023, frames 0.256M, mean epr 1.334
time 00h 19m 16s, episodes 1031, frames 0.258M, mean epr 1.329
time 00h 19m 27s, episodes 1043, frames 0.261M, mean epr 1.345
time 00h 19m 37s, episodes 1051, frames 0.263M, mean epr 1.290
time 00h 19m 47s, episodes 1062, frames 0.265M, mean epr 1.317
time 00h 19m 58s, episodes 1072, frames 0.267M, mean epr 1.285
time 00h 20m 08s, episodes 1081, frames 0.269M, mean epr 1.241
time 00h 20m 18s, episodes 1089, frames 0.272M, mean epr 1.308
time 00h 20m 29s, episodes 1099, frames 0.274M, mean epr 1.269
time 00h 20m 39s, episodes 1108, frames 0.276M, mean epr 1.265
time 00h 20m 49s, episodes 1116, frames 0.278M, mean epr 1.294
time 00h 20m 59s, episodes 1126, frames 0.280M, mean epr 1.294
time 00h 21m 09s, episodes 1132, frames 0.283M, mean epr 1.277
time 00h 21m 19s, episodes 1143, frames 0.285M, mean epr 1.391
time 00h 21m 30s, episodes 1151, frames 0.287M, mean epr 1.304
time 00h 21m 40s, episodes 1159, frames 0.289M, mean epr 1.290
time 00h 21m 50s, episodes 1171, frames 0.291M, mean epr 1.246
time 00h 22m 01s, episodes 1180, frames 0.294M, mean epr 1.195
time 00h 22m 11s, episodes 1187, frames 0.296M, mean epr 1.261
time 00h 22m 21s, episodes 1194, frames 0.298M, mean epr 1.312
time 00h 22m 31s, episodes 1202, frames 0.300M, mean epr 1.395
time 00h 22m 41s, episodes 1211, frames 0.302M, mean epr 1.368
time 00h 22m 52s, episodes 1220, frames 0.305M, mean epr 1.365
time 00h 23m 02s, episodes 1232, frames 0.307M, mean epr 1.400
time 00h 23m 12s, episodes 1235, frames 0.309M, mean epr 1.398
time 00h 23m 23s, episodes 1243, frames 0.311M, mean epr 1.494
time 00h 23m 33s, episodes 1252, frames 0.314M, mean epr 1.489
time 00h 23m 43s, episodes 1257, frames 0.316M, mean epr 1.476
time 00h 23m 53s, episodes 1268, frames 0.318M, mean epr 1.511
time 00h 24m 03s, episodes 1276, frames 0.320M, mean epr 1.491
time 00h 24m 14s, episodes 1286, frames 0.322M, mean epr 1.455
time 00h 24m 24s, episodes 1297, frames 0.325M, mean epr 1.445
time 00h 24m 34s, episodes 1302, frames 0.327M, mean epr 1.424
time 00h 24m 44s, episodes 1310, frames 0.329M, mean epr 1.430
time 00h 24m 54s, episodes 1321, frames 0.331M, mean epr 1.459
time 00h 25m 04s, episodes 1330, frames 0.333M, mean epr 1.420
time 00h 25m 14s, episodes 1337, frames 0.335M, mean epr 1.441
time 00h 25m 25s, episodes 1348, frames 0.337M, mean epr 1.421
time 00h 25m 35s, episodes 1355, frames 0.340M, mean epr 1.393
time 00h 25m 45s, episodes 1366, frames 0.342M, mean epr 1.360
time 00h 25m 55s, episodes 1375, frames 0.344M, mean epr 1.358
time 00h 26m 06s, episodes 1385, frames 0.346M, mean epr 1.354
time 00h 26m 16s, episodes 1392, frames 0.349M, mean epr 1.380
time 00h 26m 27s, episodes 1400, frames 0.351M, mean epr 1.340
time 00h 26m 37s, episodes 1410, frames 0.353M, mean epr 1.392
time 00h 26m 47s, episodes 1419, frames 0.355M, mean epr 1.376
time 00h 26m 57s, episodes 1428, frames 0.357M, mean epr 1.344
time 00h 27m 08s, episodes 1436, frames 0.360M, mean epr 1.317
time 00h 27m 18s, episodes 1447, frames 0.362M, mean epr 1.322
time 00h 27m 28s, episodes 1457, frames 0.364M, mean epr 1.283
time 00h 27m 38s, episodes 1466, frames 0.366M, mean epr 1.269
time 00h 27m 48s, episodes 1473, frames 0.368M, mean epr 1.242
time 00h 27m 58s, episodes 1483, frames 0.371M, mean epr 1.285
time 00h 28m 08s, episodes 1492, frames 0.373M, mean epr 1.261
time 00h 28m 20s, episodes 1501, frames 0.375M, mean epr 1.249
time 00h 28m 30s, episodes 1511, frames 0.377M, mean epr 1.301
time 00h 28m 40s, episodes 1521, frames 0.379M, mean epr 1.272
time 00h 28m 50s, episodes 1527, frames 0.382M, mean epr 1.257
time 00h 29m 00s, episodes 1536, frames 0.384M, mean epr 1.282
time 00h 29m 11s, episodes 1543, frames 0.386M, mean epr 1.293
time 00h 29m 21s, episodes 1553, frames 0.388M, mean epr 1.376
time 00h 29m 31s, episodes 1560, frames 0.391M, mean epr 1.419
time 00h 29m 41s, episodes 1569, frames 0.393M, mean epr 1.410
time 00h 29m 51s, episodes 1578, frames 0.395M, mean epr 1.431
time 00h 30m 01s, episodes 1589, frames 0.397M, mean epr 1.404
time 00h 30m 11s, episodes 1597, frames 0.399M, mean epr 1.344
time 00h 30m 22s, episodes 1605, frames 0.402M, mean epr 1.376
time 00h 30m 32s, episodes 1616, frames 0.404M, mean epr 1.375
time 00h 30m 42s, episodes 1623, frames 0.406M, mean epr 1.349
time 00h 30m 52s, episodes 1632, frames 0.408M, mean epr 1.367
time 00h 31m 02s, episodes 1636, frames 0.410M, mean epr 1.373
time 00h 31m 13s, episodes 1647, frames 0.413M, mean epr 1.504
time 00h 31m 23s, episodes 1657, frames 0.415M, mean epr 1.456
time 00h 31m 33s, episodes 1664, frames 0.417M, mean epr 1.444
time 00h 31m 43s, episodes 1674, frames 0.419M, mean epr 1.421
time 00h 31m 53s, episodes 1681, frames 0.421M, mean epr 1.403
time 00h 32m 04s, episodes 1691, frames 0.423M, mean epr 1.420
time 00h 32m 15s, episodes 1701, frames 0.426M, mean epr 1.419
time 00h 32m 25s, episodes 1710, frames 0.428M, mean epr 1.335
time 00h 32m 35s, episodes 1720, frames 0.430M, mean epr 1.368
time 00h 32m 45s, episodes 1727, frames 0.432M, mean epr 1.371
time 00h 32m 56s, episodes 1735, frames 0.434M, mean epr 1.314
time 00h 33m 06s, episodes 1746, frames 0.437M, mean epr 1.336
time 00h 33m 16s, episodes 1755, frames 0.439M, mean epr 1.346
time 00h 33m 26s, episodes 1765, frames 0.441M, mean epr 1.408
time 00h 33m 36s, episodes 1774, frames 0.444M, mean epr 1.373
time 00h 33m 47s, episodes 1782, frames 0.446M, mean epr 1.383
time 00h 33m 57s, episodes 1789, frames 0.448M, mean epr 1.375
time 00h 34m 07s, episodes 1801, frames 0.450M, mean epr 1.352
time 00h 34m 17s, episodes 1809, frames 0.452M, mean epr 1.333
time 00h 34m 27s, episodes 1818, frames 0.455M, mean epr 1.342
time 00h 34m 37s, episodes 1828, frames 0.457M, mean epr 1.328
time 00h 34m 48s, episodes 1839, frames 0.459M, mean epr 1.300
time 00h 34m 58s, episodes 1845, frames 0.462M, mean epr 1.353
time 00h 35m 08s, episodes 1855, frames 0.464M, mean epr 1.337
time 00h 35m 18s, episodes 1866, frames 0.466M, mean epr 1.341
time 00h 35m 29s, episodes 1876, frames 0.468M, mean epr 1.280
time 00h 35m 39s, episodes 1884, frames 0.470M, mean epr 1.259
time 00h 35m 49s, episodes 1891, frames 0.473M, mean epr 1.260
time 00h 35m 59s, episodes 1902, frames 0.475M, mean epr 1.298
time 00h 36m 10s, episodes 1910, frames 0.477M, mean epr 1.285
